"VIRTUAL_TIME","NODE_ID","EVENT_TYPE","GLOBAL_SOURCE","LOCAL_SOURCE","LOCAL_TARGET","GLOBAL_TARGET","X_COOR","Y_COOR","RADIUS","LOST","ERROR","DETAILS"
"0","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","NODE_CREATE","","","","","7","10","","","",""
"0","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","NODE_CREATE","","","","","10","96","","","",""
"0","3ebf95d4-480c-4e98-9761-d6b567f745cc","NODE_CREATE","","","","","0","0","","","",""
"0","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","NODE_CREATE","","","","","12","90","","","",""
"0","765e579f-6011-42a1-b15b-53e48a873e39","NODE_CREATE","","","","","61","65","","","",""
"0","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","NODE_CREATE","","","","","8","93","","","",""
"0","9a769188-48b1-4641-a83a-f9fbd73d627f","NODE_CREATE","","","","","40","42","","","",""
"0","84a25183-c629-4fd0-8fdd-dfdb87265689","NODE_CREATE","","","","","52","9","","","",""
"0","07bfe8ff-3c9f-4c3e-9828-139e91360b42","NODE_CREATE","","","","","50","77","","","",""
"0","23fd6087-1cdd-4304-a4fb-902c52eae4f5","NODE_CREATE","","","","","23","33","","","",""
"1","3ebf95d4-480c-4e98-9761-d6b567f745cc","DATA_SENT","3ebf95d4-480c-4e98-9761-d6b567f745cc","","","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","","","","","0",
"1","3ebf95d4-480c-4e98-9761-d6b567f745cc","DATA_LOSS","3ebf95d4-480c-4e98-9761-d6b567f745cc","","","3ebf95d4-480c-4e98-9761-d6b567f745cc","","","","","1","Cann't find route."
"1","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","DATA_SENT","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","","","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","0",
"1","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","DATA_LOSS","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","","","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","","","","","1","Cann't find route."
"1","9a769188-48b1-4641-a83a-f9fbd73d627f","DATA_SENT","9a769188-48b1-4641-a83a-f9fbd73d627f","","","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","","","","","0",
"1","9a769188-48b1-4641-a83a-f9fbd73d627f","DATA_LOSS","9a769188-48b1-4641-a83a-f9fbd73d627f","","","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","1","Cann't find route."
"1","07bfe8ff-3c9f-4c3e-9828-139e91360b42","DATA_SENT","07bfe8ff-3c9f-4c3e-9828-139e91360b42","","","07bfe8ff-3c9f-4c3e-9828-139e91360b42","","","","","0",
"1","07bfe8ff-3c9f-4c3e-9828-139e91360b42","DATA_REACH",,"","","07bfe8ff-3c9f-4c3e-9828-139e91360b42","","","","","0",
"1","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","DATA_SENT","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","765e579f-6011-42a1-b15b-53e48a873e39","","","","","0",
"1","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","DATA_LOSS","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","","","1","Cann't find route."
"2","3ebf95d4-480c-4e98-9761-d6b567f745cc","DATA_SENT","3ebf95d4-480c-4e98-9761-d6b567f745cc","","","07bfe8ff-3c9f-4c3e-9828-139e91360b42","","","","","0",
"2","3ebf95d4-480c-4e98-9761-d6b567f745cc","DATA_LOSS","3ebf95d4-480c-4e98-9761-d6b567f745cc","","","3ebf95d4-480c-4e98-9761-d6b567f745cc","","","","","1","Cann't find route."
"3","84a25183-c629-4fd0-8fdd-dfdb87265689","DATA_SENT","84a25183-c629-4fd0-8fdd-dfdb87265689","","","23fd6087-1cdd-4304-a4fb-902c52eae4f5","","","","","0",
"3","84a25183-c629-4fd0-8fdd-dfdb87265689","DATA_LOSS","84a25183-c629-4fd0-8fdd-dfdb87265689","","","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","1","Cann't find route."
"3","07bfe8ff-3c9f-4c3e-9828-139e91360b42","DATA_SENT","07bfe8ff-3c9f-4c3e-9828-139e91360b42","","","07bfe8ff-3c9f-4c3e-9828-139e91360b42","","","","","0",
"3","07bfe8ff-3c9f-4c3e-9828-139e91360b42","DATA_REACH",,"","","07bfe8ff-3c9f-4c3e-9828-139e91360b42","","","","","0",
"4","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","DATA_SENT","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","","","0",
"4","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","DATA_REACH",,"","","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","","","0",
"5","","messages.TCMessage","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","3ebf95d4-480c-4e98-9761-d6b567f745cc","","","","","","",""
"5","","messages.TCMessage","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","23fd6087-1cdd-4304-a4fb-902c52eae4f5","","","","","","",""
"5","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","DATA_SENT","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","765e579f-6011-42a1-b15b-53e48a873e39","","","","","0",
"5","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","DATA_LOSS","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","","","1","Cann't find route."
"5","","messages.TCMessage","3ebf95d4-480c-4e98-9761-d6b567f745cc","3ebf95d4-480c-4e98-9761-d6b567f745cc","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","","","","","","",""
"5","","messages.TCMessage","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","","","","",""
"5","","messages.TCMessage","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","4265bd37-a4ae-4edd-8bd6-b61c300e7e16","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","","","","",""
"5","","messages.HelloMessage",,"07bfe8ff-3c9f-4c3e-9828-139e91360b42","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","","",""
"5","","messages.HelloMessage",,"07bfe8ff-3c9f-4c3e-9828-139e91360b42","765e579f-6011-42a1-b15b-53e48a873e39","","","","","","",""
"5","","messages.TCMessage","23fd6087-1cdd-4304-a4fb-902c52eae4f5","23fd6087-1cdd-4304-a4fb-902c52eae4f5","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","","",""
"5","","messages.TCMessage","23fd6087-1cdd-4304-a4fb-902c52eae4f5","23fd6087-1cdd-4304-a4fb-902c52eae4f5","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","","",""
"5","","messages.TCMessage","23fd6087-1cdd-4304-a4fb-902c52eae4f5","23fd6087-1cdd-4304-a4fb-902c52eae4f5","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","","","","","","",""
"5","","messages.HelloMessage",,"23fd6087-1cdd-4304-a4fb-902c52eae4f5","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","","",""
"5","","messages.HelloMessage",,"23fd6087-1cdd-4304-a4fb-902c52eae4f5","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","","",""
"5","","messages.HelloMessage",,"23fd6087-1cdd-4304-a4fb-902c52eae4f5","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","","","","","","",""
"5","","messages.HelloMessage",,"3ebf95d4-480c-4e98-9761-d6b567f745cc","5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","","","","","","",""
"5","","messages.HelloMessage",,"4265bd37-a4ae-4edd-8bd6-b61c300e7e16","884411f2-3bf9-4cd2-aed9-1c6f67f84e9a","","","","","","",""
"5","","messages.HelloMessage",,"4265bd37-a4ae-4edd-8bd6-b61c300e7e16","f444f5cf-bb59-4d66-9cec-2da7c2f7561d","","","","","","",""
"5","","messages.HelloMessage",,"84a25183-c629-4fd0-8fdd-dfdb87265689","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","","",""
"5","","messages.HelloMessage",,"84a25183-c629-4fd0-8fdd-dfdb87265689","23fd6087-1cdd-4304-a4fb-902c52eae4f5","","","","","","",""
"5","","messages.TCMessage","07bfe8ff-3c9f-4c3e-9828-139e91360b42","07bfe8ff-3c9f-4c3e-9828-139e91360b42","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","","",""
"5","","messages.TCMessage","07bfe8ff-3c9f-4c3e-9828-139e91360b42","07bfe8ff-3c9f-4c3e-9828-139e91360b42","765e579f-6011-42a1-b15b-53e48a873e39","","","","","","",""
"5","","messages.TCMessage","84a25183-c629-4fd0-8fdd-dfdb87265689","84a25183-c629-4fd0-8fdd-dfdb87265689","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","","",""
"5","","messages.TCMessage","84a25183-c629-4fd0-8fdd-dfdb87265689","84a25183-c629-4fd0-8fdd-dfdb87265689","23fd6087-1cdd-4304-a4fb-902c52eae4f5","","","","","","",""
"5","","messages.HelloMessage",,"9a769188-48b1-4641-a83a-f9fbd73d627f","765e579f-6011-42a1-b15b-53e48a873e39","","","","","","",""
"5","","messages.HelloMessage",,"9a769188-48b1-4641-a83a-f9fbd73d627f","84a25183-c629-4fd0-8fdd-dfdb87265689","","","","","","",""
"5","","messages.HelloMessage",,"9a769188-48b1-4641-a83a-f9fbd73d627f","07bfe8ff-3c9f-4c3e-9828-139e91360b42","","","","","","",""
"5","","messages.HelloMessage",,"9a769188-48b1-4641-a83a-f9fbd73d627f","23fd6087-1cdd-4304-a4fb-902c52eae4f5","","","","","","",""
"5","","messages.TCMessage","765e579f-6011-42a1-b15b-53e48a873e39","765e579f-6011-42a1-b15b-53e48a873e39","9a769188-48b1-4641-a83a-f9fbd73d627f","","","","","","",""
"5","","messages.TCMessage","765e579f-6011-42a1-b15b-53e48a873e39","765e579f-6011-42a1-b15b-53e48a873e39","07bfe8ff-3c9f-4c3e-9828-139e91360b42","","","","","","",""
"5","","messages.HelloMessage",,"5f2fdb5a-cbee-4bde-b6b6-bcd382a68248","3ebf95d4-480c-4e98-9761-d6b567f745cc","","","","","","",""
