"VIRTUAL_TIME","NODE_ID","EVENT_TYPE","GLOBAL_SOURCE","LOCAL_SOURCE","LOCAL_TARGET","GLOBAL_TARGET","X_COOR","Y_COOR","RANGE","LOST","ERROR","DETAILS"
"0","","messages.TCMessage","0d9dd058-cb88-4e66-8223-dfd73bfaa174","","","","","","","","true","Station doesn't exist"
"0","","messages.TCMessage","DUMMY","","","","","","","","true","Station doesn't exist"
"0","0d9dd058-cb88-4e66-8223-dfd73bfaa174","NODE_CREATE","","","","","13","78","","","",""
"0","","messages.HelloMessage","DUMMY","","","","","","","","true","Station doesn't exist"
"0","","messages.HelloMessage","0d9dd058-cb88-4e66-8223-dfd73bfaa174","","","","","","","","",""
"0","","messages.TCMessage","DUMMY","","","","","","","","true","Station doesn't exist"
"0","","messages.HelloMessage","0d9dd058-cb88-4e66-8223-dfd73bfaa174","","","","","","","","",""
"0","","messages.HelloMessage","DUMMY","","","","","","","","true","Station doesn't exist"
"0","","messages.TCMessage","0d9dd058-cb88-4e66-8223-dfd73bfaa174","","","","","","","","",""
"6","","messages.TCMessage","b6d463f1-239f-48ab-ad72-2b98c680e865","","","","","","","","true","Station doesn't exist"
"6","","messages.HelloMessage","b6d463f1-239f-48ab-ad72-2b98c680e865","","","","","","","","true","Station doesn't exist"
"6","b6d463f1-239f-48ab-ad72-2b98c680e865","NODE_CREATE","","","","","80","28","","","",""
"6","","messages.TCMessage","DUMMY","","","","","","","","true","Station doesn't exist"
"6","","messages.HelloMessage","b6d463f1-239f-48ab-ad72-2b98c680e865","","","","","","","","",""
"6","","messages.TCMessage","DUMMY","","","","","","","","true","Station doesn't exist"
"6","","messages.HelloMessage","DUMMY","","","","","","","","true","Station doesn't exist"
"6","","messages.HelloMessage","DUMMY","","","","","","","","true","Station doesn't exist"
"6","","messages.TCMessage","b6d463f1-239f-48ab-ad72-2b98c680e865","","","","","","","","",""
"27","","messages.TCMessage","a2654244-3931-4f89-ab3f-4a9e2b19af71","","","","","","","","true","Station doesn't exist"
"27","","messages.HelloMessage","a2654244-3931-4f89-ab3f-4a9e2b19af71","","","","","","","","true","Station doesn't exist"
"27","","messages.TCMessage","DUMMY","","","","","","","","true","Station doesn't exist"
"27","","messages.HelloMessage","DUMMY","","","","","","","","true","Station doesn't exist"
"27","a2654244-3931-4f89-ab3f-4a9e2b19af71","NODE_CREATE","","","","","58","71","","","",""
"27","","messages.TCMessage","a2654244-3931-4f89-ab3f-4a9e2b19af71","","","","","","","","",""
"27","","messages.HelloMessage","a2654244-3931-4f89-ab3f-4a9e2b19af71","","","","","","","","",""
"27","","messages.TCMessage","DUMMY","","","","","","","","true","Station doesn't exist"
"27","","messages.HelloMessage","DUMMY","","","","","","","","true","Station doesn't exist"
"81","","messages.TCMessage","aaefe42f-05f9-48d2-8e97-7987afc75476","","","","","","","","true","Station doesn't exist"
"81","aaefe42f-05f9-48d2-8e97-7987afc75476","NODE_CREATE","","","","","6","26","","","",""
"81","","messages.HelloMessage","aaefe42f-05f9-48d2-8e97-7987afc75476","","","","","","","","",""
"81","","messages.TCMessage","aaefe42f-05f9-48d2-8e97-7987afc75476","","","","","","","","",""
"81","","messages.HelloMessage","aaefe42f-05f9-48d2-8e97-7987afc75476","","","","","","","","",""
"81","","messages.TCMessage","DUMMY","","","","","","","","true","Station doesn't exist"
"81","","messages.HelloMessage","DUMMY","","","","","","","","true","Station doesn't exist"
